Nb;Sc;Ta;Ti;Zr;Mo;Cr;Mn;Fe;Hf;Co;Si;Mg;V;W;Y;In;Ag;Ga;Cd;Sb;Te;Cu;Re;Ge;Hg;Ru;Al;As;Zn;Ni;Ir;Bi;Au;Pt;Pb;Rh;Pd;Sn;stoich_entropy;delta;avg_VEC;Formation Energy (eV/atom);Bulk Modulus (GPa);Shear Modulus (GPa);Density;Melting_Temperature;LMP;GB ratio;Omega;Log_10(K_A);Origin;Cluster;Normalized Composition
0.18;0.18;;0.09;0.18;0.18;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.04;6.9;-0.14;143.98;51.03;7.91;2180.65;31.38;0.35;2.31;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ti0.09Zr0.18Mo0.18Hf0.18
0.16;0.16;0.03;0.16;0.16;0.16;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.87;0.05;7.0;-0.13;144.96;48.69;8.06;2196.44;31.4;0.34;2.68;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.03Ti0.16Zr0.16Mo0.16Hf0.16
0.12;0.21;;0.06;0.21;0.21;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.72;0.04;6.93;-0.14;135.35;45.16;7.94;2162.37;31.31;0.33;2.3;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.12Sc0.21Ti0.06Zr0.21Mo0.21Hf0.18
0.17;0.17;;0.13;0.17;0.17;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.79;-0.15;143.18;51.05;7.85;2192.59;31.38;0.36;2.32;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ti0.13Zr0.17Mo0.17Hf0.17
0.17;0.17;;0.15;0.17;0.17;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.72;-0.14;143.15;49.56;7.88;2197.78;31.4;0.35;2.4;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ti0.15Zr0.17Mo0.17Hf0.17
0.18;0.18;;0.1;0.18;0.18;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.04;6.89;-0.14;143.98;51.03;7.91;2180.65;31.38;0.35;2.32;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ti0.1Zr0.18Mo0.18Hf0.18
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.89;0.05;7.26;-0.11;148.54;47.24;8.01;2290.39;31.3;0.32;3.28;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.04
0.16;0.16;0.09;0.16;0.16;0.16;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.92;0.05;7.01;-0.11;148.23;50.38;8.11;2297.07;31.4;0.34;3.5;0.38;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.09Ti0.16Zr0.16Mo0.16Hf0.09
0.17;0.17;0.13;0.17;0.17;0.17;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.88;0.05;6.77;-0.11;147.51;46.15;8.09;2266.09;31.32;0.31;3.38;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.13Ti0.17Zr0.17Mo0.17Hf0.04
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.16;0.16;0.13;0.16;0.16;0.16;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.91;0.05;7.16;-0.11;147.84;46.97;8.05;2297.11;31.3;0.32;3.6;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.13Ti0.16Zr0.16Mo0.16Hf0.06
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.91;0.05;7.45;-0.12;149.06;47.12;8.1;2289.8;31.3;0.32;3.27;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.06
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.18;0.15;0.21;0.03;0.06;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.57;0.04;7.98;-0.11;172.63;57.0;9.31;2453.33;31.35;0.33;2.98;0.36;Generative CVAE;Hf0.03Mo0.38Nb0.05Sc0.19Ta0.15Ti0.07V0.08Zr0.04;Nb0.18Sc0.15Ta0.21Ti0.03Zr0.06Mo0.36
0.16;0.16;0.03;0.16;0.16;0.16;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.87;0.05;7.0;-0.13;144.96;48.69;8.06;2196.44;31.4;0.34;2.68;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.03Ti0.16Zr0.16Mo0.16Hf0.16
0.16;0.16;0.12;0.16;0.16;0.16;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;0.05;6.95;-0.11;147.95;46.54;8.1;2296.94;31.32;0.31;3.45;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.12Ti0.16Zr0.16Mo0.16Hf0.05
0.19;0.19;0.19;0.07;0.16;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;0.04;7.27;-0.13;147.45;50.61;8.11;2377.29;31.38;0.34;2.87;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.07Zr0.16Mo0.19
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.17;0.17;0.17;0.17;0.17;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.11;152.11;48.34;8.12;2308.91;31.3;0.32;3.19;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.17Zr0.17Mo0.17
0.24;0.24;0.18;0.03;0.08;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.64;0.04;7.16;-0.11;151.14;52.35;8.17;2403.29;31.38;0.35;3.18;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.24Sc0.24Ta0.18Ti0.03Zr0.08Mo0.24
0.2;0.2;0.17;0.05;0.17;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.73;0.04;6.97;-0.13;145.05;48.86;8.04;2331.83;31.38;0.34;2.66;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.2Sc0.2Ta0.17Ti0.05Zr0.17Mo0.2
0.16;0.16;0.16;0.16;0.16;0.16;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.91;0.05;7.51;-0.11;148.99;46.86;8.1;2279.26;31.3;0.31;3.38;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16Mo0.16Hf0.06
0.18;0.18;0.18;0.09;0.18;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.76;0.04;7.11;-0.1;145.16;48.38;7.99;2315.27;31.38;0.33;3.36;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.09Zr0.18Mo0.18
0.18;0.18;0.18;0.09;0.18;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.04;7.1;-0.1;148.74;49.7;7.99;2340.58;31.38;0.33;3.42;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.09Zr0.18Mo0.18
0.15;0.15;0.12;0.13;0.15;0.15;;;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.94;0.05;8.14;-0.1;149.99;49.74;8.53;2302.45;31.38;0.33;3.71;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.12Ti0.13Zr0.15Mo0.15Hf0.15
0.24;0.24;0.19;0.03;0.06;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.62;0.04;7.28;-0.11;152.26;52.77;8.26;2385.22;31.38;0.35;3.14;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.24Sc0.24Ta0.19Ti0.03Zr0.06Mo0.24
0.21;0.21;0.21;0.05;0.13;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;0.04;7.5;-0.11;149.47;50.47;8.37;2357.48;31.38;0.34;3.07;0.38;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.21Sc0.21Ta0.21Ti0.05Zr0.13Mo0.21
0.17;0.17;0.12;0.11;0.17;0.17;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.92;0.05;7.55;-0.1;147.87;46.84;8.2;2258.99;31.38;0.32;3.62;0.38;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.12Ti0.11Zr0.17Mo0.17Hf0.1
0.18;0.18;0.18;0.12;0.18;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;0.05;7.0;-0.1;148.72;47.56;8.01;2320.54;31.3;0.32;3.57;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.12Zr0.18Mo0.18
0.18;0.18;0.17;0.08;0.18;0.18;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.83;0.04;7.2;-0.13;148.6;48.48;8.09;2366.22;31.38;0.33;2.86;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.17Ti0.08Zr0.18Mo0.18Hf0.03
0.18;0.18;0.18;0.08;0.18;0.18;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.83;0.04;7.34;-0.11;148.91;48.48;8.11;2352.55;31.38;0.33;3.28;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.08Zr0.18Mo0.18Hf0.02
0.18;0.18;0.17;0.09;0.18;0.18;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.04;7.41;-0.12;149.05;48.79;8.15;2338.6;31.38;0.33;3.18;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.17Ti0.09Zr0.18Mo0.18Hf0.04
0.15;0.15;0.15;0.14;0.15;0.15;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.93;0.05;7.92;-0.09;152.47;49.84;8.54;2306.12;31.38;0.33;4.16;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.14Zr0.15Mo0.15Hf0.09
0.19;0.19;0.16;0.07;0.19;0.19;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.82;0.04;7.06;-0.13;142.28;45.01;8.07;2375.61;31.38;0.32;2.85;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.16Ti0.07Zr0.19Mo0.19Hf0.02
0.17;0.17;0.17;0.11;0.17;0.17;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.87;0.04;7.44;-0.11;149.2;48.31;8.14;2321.39;31.38;0.32;3.27;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.11Zr0.17Mo0.17Hf0.04
0.19;0.28;0.22;;0.03;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.47;0.05;7.81;-0.11;157.73;57.64;8.5;2382.94;31.38;0.37;2.79;0.38;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.28Ta0.22Zr0.03Mo0.28
0.18;0.18;0.18;0.1;0.18;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.04;7.06;-0.1;148.32;47.56;7.99;2332.14;31.38;0.32;3.6;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.1Zr0.18Mo0.18
0.18;0.18;0.17;0.09;0.18;0.18;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.84;0.04;7.27;-0.11;148.41;48.48;8.08;2363.14;31.38;0.33;3.32;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.17Ti0.09Zr0.18Mo0.18Hf0.03
0.18;0.18;0.18;0.09;0.18;0.18;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.85;0.04;7.44;-0.12;149.57;48.79;8.24;2345.87;31.38;0.33;3.18;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.09Zr0.18Mo0.18Hf0.03
0.03;0.21;0.18;;0.17;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.42;0.04;7.38;-0.12;151.71;52.63;8.55;2424.87;31.41;0.35;2.42;0.33;Generative CVAE;Hf0.03Mo0.38Nb0.05Sc0.19Ta0.15Ti0.07V0.08Zr0.04;Nb0.03Sc0.21Ta0.18Zr0.17Mo0.4
0.19;0.19;0.19;0.05;0.19;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.72;0.04;7.24;-0.12;144.42;48.12;8.1;2369.61;31.41;0.33;2.91;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.05Zr0.19Mo0.19
0.17;0.17;0.13;0.09;0.17;0.17;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.92;0.04;7.7;-0.11;150.09;46.86;8.32;2289.68;31.38;0.31;3.3;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.13Ti0.09Zr0.17Mo0.17Hf0.1
0.19;0.19;0.19;0.06;0.19;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.74;0.04;7.2;-0.12;146.18;48.39;8.08;2374.69;31.38;0.33;2.99;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.06Zr0.19Mo0.19
0.15;0.15;0.15;0.12;0.15;0.15;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.94;0.05;8.09;-0.09;151.65;50.86;8.57;2307.82;31.38;0.34;4.27;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.15Ta0.15Ti0.12Zr0.15Mo0.15Hf0.1
0.16;0.2;0.2;0.04;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;0.04;7.35;-0.12;145.12;48.85;8.08;2369.54;31.38;0.34;2.81;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.2Ta0.2Ti0.04Zr0.2Mo0.2
0.13;0.21;0.21;0.03;0.21;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.69;0.04;7.46;-0.11;145.36;48.47;8.13;2338.7;31.38;0.33;2.96;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.13Sc0.21Ta0.21Ti0.03Zr0.21Mo0.21
0.17;0.17;0.12;0.08;0.17;0.17;;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.92;0.04;8.0;-0.12;150.07;48.24;8.54;2347.15;31.38;0.32;3.36;0.39;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.12Ti0.08Zr0.17Mo0.17Hf0.14
0.15;0.2;0.2;0.04;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.72;0.04;7.36;-0.13;145.27;48.0;8.08;2372.23;31.38;0.33;2.72;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.2Ta0.2Ti0.04Zr0.2Mo0.2
0.12;0.21;0.21;0.04;0.21;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.69;0.04;7.49;-0.12;145.31;48.47;8.12;2332.67;31.38;0.33;2.91;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.12Sc0.21Ta0.21Ti0.04Zr0.21Mo0.21
0.18;0.18;0.18;0.12;0.18;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.78;0.05;7.0;-0.1;148.72;47.56;8.01;2320.54;31.3;0.32;3.57;0.33;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.12Zr0.18Mo0.18
0.16;0.16;0.16;0.13;0.16;0.16;;;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.93;0.05;7.85;-0.1;152.38;48.53;8.54;2308.47;31.38;0.32;3.94;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.13Zr0.16Mo0.16Hf0.08
0.19;0.19;0.16;0.05;0.19;0.19;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.81;0.04;7.27;-0.14;142.83;45.82;8.09;2358.94;31.41;0.32;2.71;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.16Ti0.05Zr0.19Mo0.19Hf0.03
0.17;0.17;0.17;0.1;0.17;0.17;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.84;0.04;7.29;-0.11;149.66;48.48;8.04;2352.71;31.38;0.32;3.31;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.1Zr0.17Mo0.17Hf0.02
0.18;0.18;0.18;0.09;0.18;0.18;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.85;0.04;7.44;-0.12;149.57;48.79;8.23;2345.87;31.38;0.33;3.16;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.09Zr0.18Mo0.18Hf0.03
0.17;0.17;0.16;0.1;0.17;0.17;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;0.04;7.59;-0.11;149.0;48.25;8.33;2321.38;31.38;0.32;3.36;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.16Ti0.1Zr0.17Mo0.17Hf0.06
0.19;0.19;0.19;0.07;0.19;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;0.04;7.18;-0.12;146.16;48.39;8.08;2322.11;31.38;0.33;2.98;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.07Zr0.19Mo0.19
0.18;0.18;0.17;0.07;0.18;0.18;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.85;0.04;7.39;-0.12;146.81;46.53;8.21;2349.29;31.38;0.32;3.0;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.17Ti0.07Zr0.18Mo0.18Hf0.04
0.16;0.16;0.16;0.12;0.16;0.16;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.93;0.04;7.93;-0.1;152.17;48.68;8.51;2306.47;31.38;0.32;4.02;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.16Ti0.12Zr0.16Mo0.16Hf0.09
0.18;0.18;0.18;0.09;0.18;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.77;0.04;7.1;-0.1;148.74;49.7;7.99;2340.58;31.38;0.33;3.42;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.18Ti0.09Zr0.18Mo0.18
0.17;0.17;0.17;0.08;0.17;0.17;;;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.89;0.04;7.77;-0.1;149.82;47.75;8.5;2309.59;31.38;0.32;3.62;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.08Zr0.17Mo0.17Hf0.07
0.12;0.21;0.21;0.05;0.21;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.71;0.04;7.44;-0.12;145.31;48.47;8.13;2282.66;31.38;0.33;2.85;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.12Sc0.21Ta0.21Ti0.05Zr0.21Mo0.21
0.17;0.17;0.17;0.09;0.17;0.17;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.86;0.04;7.47;-0.12;149.57;48.79;8.25;2331.44;31.38;0.33;3.01;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.09Zr0.17Mo0.17Hf0.04
0.17;0.17;0.17;0.1;0.17;0.17;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.85;0.04;7.37;-0.12;149.56;48.48;8.2;2344.58;31.38;0.32;3.18;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.17Ta0.17Ti0.1Zr0.17Mo0.17Hf0.03
0.16;0.16;0.15;0.11;0.16;0.16;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.93;0.04;8.09;-0.09;149.92;47.98;8.61;2298.7;31.38;0.32;4.28;0.35;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.16Ta0.15Ti0.11Zr0.16Mo0.16Hf0.11
0.19;0.19;0.19;0.06;0.19;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.74;0.04;7.2;-0.12;146.18;48.39;8.08;2374.69;31.38;0.33;2.99;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.19Ta0.19Ti0.06Zr0.19Mo0.19
0.18;0.18;0.15;0.08;0.18;0.18;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.88;0.04;7.4;-0.11;146.59;47.25;8.17;2316.31;31.38;0.32;3.28;0.34;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.18Ta0.15Ti0.08Zr0.18Mo0.18Hf0.06
0.04;0.26;0.18;;0.26;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;0.04;7.04;-0.13;142.25;49.38;7.94;2207.97;31.41;0.35;2.16;0.37;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.04Sc0.26Ta0.18Zr0.26Mo0.26
